"","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","F1","F2","F3","G1","G2","G3","H1","H2","H3","I1","I2","I3"
"C15orf41",5.18160445373123,5.32086967222684,5.33273776978943,5.0916756639497,5.33428106297587,5.34809127480496,5.29110611357283,5.33659523344866,5.30401035286726,5.29283954777423,5.23961270145768,5.14087390051962,5.18634913244391,5.29940714890305,5.1438670215414,5.19350755773688,4.90522288667468,5.01911648638881,5.08285252277302,5.07509294684831,4.9017680745051,5.10767042949666,5.04545800886889,5.1962201255276,5.08095697204134,5.24141871227316
"C16orf91",8.25367551742872,8.13677847052999,8.44394382146474,8.42181989752051,8.54554918519687,8.27288464415919,8.50633614461625,8.5478877036498,8.35158392882071,8.27483820500217,8.20616547735017,8.1039227177942,8.19491690450242,8.38166933193169,8.10648848505441,8.08826503085713,8.15140238773701,8.21413390130176,8.20179828477505,8.19189680178835,8.16185969903484,8.24623600621509,8.23195111524437,8.37868227528939,8.20943671959445,8.24169142648971
"C18orf15",5.51768850961299,5.15469226683645,5.11573574819535,5.7917582795163,5.31257753454406,4.98379337405084,5.26169728486597,5.07730953307541,4.87292840128528,5.26010506371701,5.1095913207534,5.26759947214207,4.99921005193154,5.20053164365813,5.44352344860486,5.10111690694898,5.31319040777718,5.25703998931276,5.44435784778025,5.0609839590452,5.53577656682196,5.06285420896225,5.22927925760959,5.37000457437998,5.33615194137533,5.37833686759749
"C1orf105",5.37650874691187,6.14216417876161,5.14719013510436,5.2060663830602,5.40869039203376,5.31112804549342,5.23328155624112,5.10457719796194,5.11693574667875,5.13917793709285,5.2014900015091,5.03856854556478,4.85966694945101,4.96808054429304,5.03987698346327,4.94549208541808,5.15665291719,4.94012541162219,5.06868748484666,5.21643627249663,5.09447671282341,4.97711057174878,5.47538340864873,5.7592537732525,5.27771112972625,5.6052939574993
"C21orf62-AS1",5.29333061746409,5.23513169714973,5.20147500893203,5.43270353303201,5.13355401209556,5.06689627255207,5.19148367836772,5.33216744488256,5.09864818110284,5.18994804148194,5.16300261180603,4.98605979290345,5.10516726913411,5.06072500024562,5.17796764208822,5.07850897373406,5.21496301718989,5.08075534247285,5.01677641857072,4.96845312728558,5.23729647606449,4.96910601851951,5.28697002409937,5.16482168768719,5.39156445156423,5.09965257556433
"C2CD4C",6.55543525195428,6.67252639142558,6.47234907148667,6.43573197451204,6.58247731102369,6.63733852986549,6.70842647050717,6.51681887927813,6.37439227901263,6.47785927578294,6.48941751114814,6.37281615140473,6.40039760259612,6.45584088507058,6.47932269946932,6.37814781465023,6.50896631810661,6.33671085175012,6.55708130978608,6.47236188149734,6.61781141245867,6.51207769552666,6.59485422590839,6.23359207479549,6.34834429310232,6.56246048740253
"C2orf42",6.93683137454553,7.23966002561614,7.47769797179941,6.96108471061232,7.18177710310182,7.25977272687514,6.97572908192431,6.9820197986917,7.45990198556036,6.51603966708049,7.0046798738683,6.9577405136036,7.47651622913357,7.5162504964983,7.19979931972048,7.35746944288403,7.31454416730568,7.62818459811074,7.86556169383503,7.82497558668084,7.07578268567386,7.77527655054225,7.57482515993111,8.0766736750197,7.93925409259006,7.9670283850438
"C6orf136",7.91507885692847,7.89839862115524,7.73646307670878,7.42651034472529,7.97783332628024,8.14725470361226,7.74868455328999,7.97168440900401,7.8852705759578,7.76876604638442,7.88379045791651,7.4614863198354,7.97154091093849,7.74998707902217,7.30911252506811,7.81342338974756,7.54692924726651,7.23313670957497,7.35411564043469,7.69352814533954,6.63519208203607,7.19283835998935,7.54915362477871,6.98381584919334,6.79459424567401,7.19669314388281
"C6orf223",6.55746489327475,6.65282198379152,6.68120168534091,6.52648081360478,6.63365327169679,6.35192034809249,6.67887975997958,6.77452502622546,6.47135527659199,6.57570418463304,6.63431507881605,6.69896151442209,6.660976000232,6.49862424337046,6.74490957963677,6.55165382855309,6.63157313135348,6.72938691443587,6.73860285740767,6.3769181069856,6.88756329109447,6.70595549957431,6.71129346941429,6.75616547102908,6.62463927843572,6.62050197465232
"CA2",9.25737244575352,9.74181236009095,9.81833118422131,9.40238444942702,9.74156918223181,10.0385155711543,9.46159050963527,9.81487896869475,9.769259553205,9.17204934900302,9.44077134364123,7.71144818712914,8.52877080531439,9.74599611185096,7.46621429518646,7.21809482072881,8.34266006569775,7.21270049190393,7.29749581809205,8.49021591851839,6.09628930853545,7.23802329229409,8.14212139254976,6.94526365770724,7.20155829757003,7.88427794320403
